web-scraper-order,web-scraper-start-url,chiens,chiens-href,nom,prix,adresse,image_lien-src
"1740283955-55","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049","Métisse chiots rottweiler","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png"
"1740283958-56","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735","Chiens Malinois","300 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png"
"1740283960-57","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386","Chiot boxer","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935386_uploaded_image1_1586726128.5.png"
"1740283962-58","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397","Chiots Labrador","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935397_uploaded_image1_1586726397.65.png"
"1740283965-59","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-1940062","Chien","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg"
"1740283967-60","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-1940073","Chien","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg"
"1740283969-61","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031","CHiots Pitbull","90 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg"
"1740283972-62","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265","Femelles  métisse rock / 4 chiennes","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg"
"1740283974-63","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517","Chiot Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1740283977-64","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558","Chiot Berger Allemand","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg"
